block_date,average_price_usd
2025-03-30,1761.180037211853
2025-03-29,1936.7971002557288
2025-03-28,2082.73213600342
2025-03-27,1978.8368723030112
2025-03-26,1959.9144627145693
2025-03-25,2072.44531437535
2025-03-24,2108.354198298958
2025-03-23,1911.6801465032831
