block_date,transaction_count,total_amount,total_amount_usd
2025-03-30,797515.0,1.56398631280788e+30,40195268184.55087
2025-03-29,960198.0,2.1750381675341536e+31,60861925491.24726
2025-03-28,1137257.0,5.046791267068413e+31,106211026612.1668
2025-03-27,1115636.0,1.435984119047368e+32,81917081428.84149
2025-03-26,1148160.0,1.0000000101000001e+54,84497707242.21196
2025-03-25,1092919.0,1.728109199171102e+60,75870962563.74173
2025-03-24,1079046.0,8.905108175839464e+30,88873405616.10507
2025-03-23,850512.0,2.500801003863314e+32,46438039712.24791
