block_date,daily_volume_usd
2025-03-30,21070425586.88625
2025-03-29,60861925490.20952
2025-03-28,106211026612.1639
2025-03-27,81917081428.83525
2025-03-26,84497707242.22633
2025-03-25,75870962563.73561
2025-03-24,88873405616.09615
2025-03-23,46438039712.24873
