unique_key,blockchain,block_month,block_date,block_time,block_number,tx_hash,evt_index,trace_address,token_standard,tx_from,tx_to,tx_index,from,to,contract_address,symbol,amount_raw,amount,price_usd,amount_usd
98caedea294395f8cf9ae23f3a307dfa,ethereum,2025-02-01,2025-02-25,2025-02-25 15:41:23.000 UTC,21924303.0,0x700a2d27394716c11536711b160f2aa7a0ff5116a2e603966a30a3b3aba656bb,258,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x40a2accbd92bca938b02010e17a5b8929b49130d,32,0x21c69f7d1edd4a8a2ad241c2a96f62636acc0493,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,52266000000000000000000,52266.0,0.248139,12969.232974
6bcf71822f214d4162d19d51174621fc,ethereum,2025-02-01,2025-02-25,2025-02-25 15:41:23.000 UTC,21924303.0,0x700a2d27394716c11536711b160f2aa7a0ff5116a2e603966a30a3b3aba656bb,231,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x40a2accbd92bca938b02010e17a5b8929b49130d,32,0x2013e63b4d96dd1976e157b6a17a58b07be9e4a8,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,123240000000000000000000,123240.0,0.248139,30580.65036
3c2cee603d1ad7949ee089c7869357e2,ethereum,2025-02-01,2025-02-25,2025-02-25 15:41:23.000 UTC,21924303.0,0x700a2d27394716c11536711b160f2aa7a0ff5116a2e603966a30a3b3aba656bb,241,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x40a2accbd92bca938b02010e17a5b8929b49130d,32,0xeb39e15b9bf4ab61f34ae1160cd8e84e773580b6,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,54860000000000000000000,54860.0,0.248139,13612.90554
16a42c452503ed32bc04b48c35817080,ethereum,2020-12-01,2020-12-23,2020-12-23 18:13:31.000 UTC,11511393.0,0x9825b9f083ba43112afd66dbcfbbf770e24bc21ff4128ce24ddbda171d79ae2f,3,<nil>,erc20,0x514df5293aa7ca53c05d79c37b836596c4abf687,<nil>,2,0x0000000000000000000000000000000000000000,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1500000000000000000000000000,1500000000.0,<nil>,<nil>
f496a9563ba5d200bb161f3700888340,ethereum,2024-02-01,2024-02-27,2024-02-27 16:29:23.000 UTC,19320087.0,0x34a41772edfd7157f387ea7e1dac335a07f1582e155c961d12ed4c4f648010e9,224,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,73,0xce4259be054bb2c0403a6993b8d3c73973b7316c,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,728571200000000000000000,728571.2000000001,0.484618,353078.71780160005
d49f6b1848bfef0a491f79ede4ee1d79,ethereum,2024-06-01,2024-06-06,2024-06-06 09:09:11.000 UTC,20031798.0,0xbd67eadaaa9f5385e89419591f04296fc451161a2f92db8364f9a641d402c121,15,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0,0x70b341fedcf293d70e51ba2974b6172d95fb5dc9,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,119050000000000000000000,119050.0,0.474351,56471.48655
ee0aa45308dcdf91da39f06d1c779536,ethereum,2023-07-01,2023-07-12,2023-07-12 06:31:23.000 UTC,17675719.0,0x694018579f327f19f69303957931999c716d148847da7ab47b1ca6844c928268,65,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,48,0x1dd6cbe14bff6255e6e360d8e88b1b2fd4b433e9,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,446271000000000000000000,446271.0,0.323201,144235.233471
d49f71d354f7e35e136aa79a4a4f3bc5,ethereum,2024-06-01,2024-06-06,2024-06-06 09:09:11.000 UTC,20031798.0,0xbd67eadaaa9f5385e89419591f04296fc451161a2f92db8364f9a641d402c121,16,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0,0x7ebe87964bb7c1a8b698d4434a47cd3e8f8f1a6a,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,42858000000000000000000,42858.0,0.474351,20329.735158
250a6ee1699eaa9bf4dcbe8786e49bd2,ethereum,2024-11-01,2024-11-07,2024-11-07 18:14:23.000 UTC,21137491.0,0x046399f70542ad788b49ed87bffb96f3dc608ca7b2c8a7fac6d133fda48836f5,281,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,36,0xb8315956838cf744a396c6cab852333429f52911,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,343390000000000000000000,343390.0,0.261871,89923.88269000001
516ed73fb8f30f1cc12f8aa8602415e7,ethereum,2024-11-01,2024-11-07,2024-11-07 18:15:35.000 UTC,21137497.0,0xcb9cc59ac81596bd16928bf3eda037f9f69ab68bf9281f003aafc56c3df44196,371,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,106,0x9e0caaaea7b85f4ea11042340e5bfbdaa9eb5037,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,171432000000000000000000,171432.0,0.261832,44886.383424
